date,forecast_best,product_name
2025-01-14,17803.197265625,Apple iPhone 14 Pro
2025-01-15,17803.845703125,Apple iPhone 14 Pro
2025-01-16,17804.353515625,Apple iPhone 14 Pro
2025-01-17,17804.740234375,Apple iPhone 14 Pro
2025-01-18,17804.99609375,Apple iPhone 14 Pro
2025-01-19,17805.107421875,Apple iPhone 14 Pro
2025-01-20,17805.18359375,Apple iPhone 14 Pro
2025-01-21,17805.212890625,Apple iPhone 14 Pro
2025-01-22,17805.197265625,Apple iPhone 14 Pro
2025-01-23,17805.181640625,Apple iPhone 14 Pro
2025-01-24,17805.173828125,Apple iPhone 14 Pro
2025-01-25,17805.169921875,Apple iPhone 14 Pro
2025-01-26,17805.16796875,Apple iPhone 14 Pro
2025-01-27,17805.166015625,Apple iPhone 14 Pro
2025-01-28,17805.166015625,Apple iPhone 14 Pro
2025-01-29,17805.166015625,Apple iPhone 14 Pro
2025-01-30,17805.166015625,Apple iPhone 14 Pro
2024-12-29,6094.39794921875,Ashley Recliner Sofa
2024-12-30,6179.65625,Ashley Recliner Sofa
2024-12-31,6216.8603515625,Ashley Recliner Sofa
2025-01-01,6275.53759765625,Ashley Recliner Sofa
2025-01-02,6321.677734375,Ashley Recliner Sofa
2025-01-03,6346.99951171875,Ashley Recliner Sofa
2025-01-04,6375.263671875,Ashley Recliner Sofa
2025-01-05,6388.70849609375,Ashley Recliner Sofa
2025-01-06,6391.28515625,Ashley Recliner Sofa
2025-01-07,6392.96435546875,Ashley Recliner Sofa
2025-01-08,6394.11181640625,Ashley Recliner Sofa
2025-01-09,6394.822265625,Ashley Recliner Sofa
2025-01-10,6395.22119140625,Ashley Recliner Sofa
2025-01-11,6395.4501953125,Ashley Recliner Sofa
2025-01-12,6395.5537109375,Ashley Recliner Sofa
2025-01-13,6395.59814453125,Ashley Recliner Sofa
2025-01-14,6395.6240234375,Ashley Recliner Sofa
2025-01-15,6395.6396484375,Ashley Recliner Sofa
2025-01-16,6395.6474609375,Ashley Recliner Sofa
2025-01-17,6395.6513671875,Ashley Recliner Sofa
2025-01-18,6395.654296875,Ashley Recliner Sofa
2025-01-19,6395.65625,Ashley Recliner Sofa
2025-01-20,6395.65673828125,Ashley Recliner Sofa
2025-01-21,6395.65625,Ashley Recliner Sofa
2025-01-22,6395.65673828125,Ashley Recliner Sofa
2025-01-23,6395.65673828125,Ashley Recliner Sofa
2025-01-24,6395.65673828125,Ashley Recliner Sofa
2025-01-25,6395.65673828125,Ashley Recliner Sofa
2025-01-26,6395.65673828125,Ashley Recliner Sofa
2025-01-27,6395.65673828125,Ashley Recliner Sofa
2024-12-27,10193.4423828125,Barbie Dreamhouse
2024-12-28,9974.5859375,Barbie Dreamhouse
2024-12-29,10000.7734375,Barbie Dreamhouse
2024-12-30,10126.400390625,Barbie Dreamhouse
2024-12-31,10048.8349609375,Barbie Dreamhouse
2025-01-01,10136.10546875,Barbie Dreamhouse
2025-01-02,10122.1298828125,Barbie Dreamhouse
2025-01-03,10248.162109375,Barbie Dreamhouse
2025-01-04,10251.2236328125,Barbie Dreamhouse
2025-01-05,10257.072265625,Barbie Dreamhouse
2025-01-06,10262.3212890625,Barbie Dreamhouse
2025-01-07,10265.470703125,Barbie Dreamhouse
2025-01-08,10269.4013671875,Barbie Dreamhouse
2025-01-09,10271.744140625,Barbie Dreamhouse
2025-01-10,10274.0908203125,Barbie Dreamhouse
2025-01-11,10274.6201171875,Barbie Dreamhouse
2025-01-12,10275.0693359375,Barbie Dreamhouse
2025-01-13,10275.4072265625,Barbie Dreamhouse
2025-01-14,10275.646484375,Barbie Dreamhouse
2025-01-15,10275.8251953125,Barbie Dreamhouse
2025-01-16,10275.9375,Barbie Dreamhouse
2025-01-17,10276.0087890625,Barbie Dreamhouse
2025-01-18,10276.0439453125,Barbie Dreamhouse
2025-01-19,10276.0712890625,Barbie Dreamhouse
2025-01-20,10276.0908203125,Barbie Dreamhouse
2025-01-21,10276.1025390625,Barbie Dreamhouse
2025-01-22,10276.1103515625,Barbie Dreamhouse
2025-01-23,10276.115234375,Barbie Dreamhouse
2025-01-24,10276.1181640625,Barbie Dreamhouse
2025-01-25,10276.1201171875,Barbie Dreamhouse
2024-12-31,4179.38037109375,Barilla Spaghetti Pasta
2025-01-01,4157.91259765625,Barilla Spaghetti Pasta
2025-01-02,4145.61767578125,Barilla Spaghetti Pasta
2025-01-03,4140.08544921875,Barilla Spaghetti Pasta
2025-01-04,4134.8408203125,Barilla Spaghetti Pasta
2025-01-05,4132.3896484375,Barilla Spaghetti Pasta
2025-01-06,4132.00830078125,Barilla Spaghetti Pasta
2025-01-07,4134.78515625,Barilla Spaghetti Pasta
2025-01-08,4134.8916015625,Barilla Spaghetti Pasta
2025-01-09,4134.92626953125,Barilla Spaghetti Pasta
2025-01-10,4134.93359375,Barilla Spaghetti Pasta
2025-01-11,4134.931640625,Barilla Spaghetti Pasta
2025-01-12,4134.923828125,Barilla Spaghetti Pasta
2025-01-13,4134.91650390625,Barilla Spaghetti Pasta
2025-01-14,4134.9111328125,Barilla Spaghetti Pasta
2025-01-15,4134.9111328125,Barilla Spaghetti Pasta
2025-01-16,4134.9111328125,Barilla Spaghetti Pasta
2025-01-17,4134.9111328125,Barilla Spaghetti Pasta
2025-01-18,4134.91162109375,Barilla Spaghetti Pasta
2025-01-19,4134.91162109375,Barilla Spaghetti Pasta
2025-01-20,4134.91162109375,Barilla Spaghetti Pasta
2025-01-21,4134.91162109375,Barilla Spaghetti Pasta
2025-01-22,4134.91162109375,Barilla Spaghetti Pasta
2025-01-23,4134.91162109375,Barilla Spaghetti Pasta
2025-01-24,4134.91162109375,Barilla Spaghetti Pasta
2025-01-25,4134.91162109375,Barilla Spaghetti Pasta
2025-01-26,4134.91162109375,Barilla Spaghetti Pasta
2025-01-27,4134.91162109375,Barilla Spaghetti Pasta
2025-01-28,4134.91162109375,Barilla Spaghetti Pasta
2025-01-29,4134.91162109375,Barilla Spaghetti Pasta
2024-12-23,6512.8837890625,Coca-Cola Zero
2024-12-24,6444.12890625,Coca-Cola Zero
2024-12-25,6368.63037109375,Coca-Cola Zero
2024-12-26,6381.880859375,Coca-Cola Zero
2024-12-27,6405.10693359375,Coca-Cola Zero
2024-12-28,6435.31103515625,Coca-Cola Zero
2024-12-29,6456.3837890625,Coca-Cola Zero
2024-12-30,6469.03076171875,Coca-Cola Zero
2024-12-31,6468.46728515625,Coca-Cola Zero
2025-01-01,6468.51513671875,Coca-Cola Zero
2025-01-02,6468.97216796875,Coca-Cola Zero
2025-01-03,6469.36181640625,Coca-Cola Zero
2025-01-04,6469.63427734375,Coca-Cola Zero
2025-01-05,6469.771484375,Coca-Cola Zero
2025-01-06,6469.82080078125,Coca-Cola Zero
2025-01-07,6469.8232421875,Coca-Cola Zero
2025-01-08,6469.8291015625,Coca-Cola Zero
2025-01-09,6469.8349609375,Coca-Cola Zero
2025-01-10,6469.83837890625,Coca-Cola Zero
2025-01-11,6469.83984375,Coca-Cola Zero
2025-01-12,6469.8408203125,Coca-Cola Zero
2025-01-13,6469.84130859375,Coca-Cola Zero
2025-01-14,6469.8408203125,Coca-Cola Zero
2025-01-15,6469.8408203125,Coca-Cola Zero
2025-01-16,6469.84228515625,Coca-Cola Zero
2025-01-17,6469.84228515625,Coca-Cola Zero
2025-01-18,6469.84228515625,Coca-Cola Zero
2025-01-19,6469.84228515625,Coca-Cola Zero
2025-01-20,6469.84228515625,Coca-Cola Zero
2025-01-21,6469.84228515625,Coca-Cola Zero
2025-01-01,16613.810546875,Dell XPS 13 Laptop
2025-01-02,17233.193359375,Dell XPS 13 Laptop
2025-01-03,17512.23828125,Dell XPS 13 Laptop
2025-01-04,17663.29296875,Dell XPS 13 Laptop
2025-01-05,17735.0859375,Dell XPS 13 Laptop
2025-01-06,17777.892578125,Dell XPS 13 Laptop
2025-01-07,17767.240234375,Dell XPS 13 Laptop
2025-01-08,17475.298828125,Dell XPS 13 Laptop
2025-01-09,17483.427734375,Dell XPS 13 Laptop
2025-01-10,17488.44921875,Dell XPS 13 Laptop
2025-01-11,17491.72265625,Dell XPS 13 Laptop
2025-01-12,17493.38671875,Dell XPS 13 Laptop
2025-01-13,17493.986328125,Dell XPS 13 Laptop
2025-01-14,17494.33984375,Dell XPS 13 Laptop
2025-01-15,17494.50390625,Dell XPS 13 Laptop
2025-01-16,17494.447265625,Dell XPS 13 Laptop
2025-01-17,17494.421875,Dell XPS 13 Laptop
2025-01-18,17494.41015625,Dell XPS 13 Laptop
2025-01-19,17494.41015625,Dell XPS 13 Laptop
2025-01-20,17494.408203125,Dell XPS 13 Laptop
2025-01-21,17494.408203125,Dell XPS 13 Laptop
2025-01-22,17494.41015625,Dell XPS 13 Laptop
2025-01-23,17494.408203125,Dell XPS 13 Laptop
2025-01-24,17494.408203125,Dell XPS 13 Laptop
2025-01-25,17494.408203125,Dell XPS 13 Laptop
2025-01-26,17494.408203125,Dell XPS 13 Laptop
2025-01-27,17494.408203125,Dell XPS 13 Laptop
2025-01-28,17494.408203125,Dell XPS 13 Laptop
2025-01-29,17494.408203125,Dell XPS 13 Laptop
2025-01-30,17494.408203125,Dell XPS 13 Laptop
2024-12-30,2819.929443359375,Fanta Orange
2024-12-31,2838.124755859375,Fanta Orange
2025-01-01,2867.42724609375,Fanta Orange
2025-01-02,2864.342041015625,Fanta Orange
2025-01-03,2883.875732421875,Fanta Orange
2025-01-04,2900.185791015625,Fanta Orange
2025-01-05,2907.682861328125,Fanta Orange
2025-01-06,2919.8427734375,Fanta Orange
2025-01-07,2921.230224609375,Fanta Orange
2025-01-08,2922.195556640625,Fanta Orange
2025-01-09,2922.818359375,Fanta Orange
2025-01-10,2923.28173828125,Fanta Orange
2025-01-11,2923.56396484375,Fanta Orange
2025-01-12,2923.7236328125,Fanta Orange
2025-01-13,2923.81884765625,Fanta Orange
2025-01-14,2923.853759765625,Fanta Orange
2025-01-15,2923.87548828125,Fanta Orange
2025-01-16,2923.888427734375,Fanta Orange
2025-01-17,2923.896484375,Fanta Orange
2025-01-18,2923.900634765625,Fanta Orange
2025-01-19,2923.90283203125,Fanta Orange
2025-01-20,2923.904052734375,Fanta Orange
2025-01-21,2923.905029296875,Fanta Orange
2025-01-22,2923.9052734375,Fanta Orange
2025-01-23,2923.905517578125,Fanta Orange
2025-01-24,2923.905517578125,Fanta Orange
2025-01-25,2923.90576171875,Fanta Orange
2025-01-26,2923.90576171875,Fanta Orange
2025-01-27,2923.90576171875,Fanta Orange
2025-01-28,2923.90576171875,Fanta Orange
2025-01-01,7037.67919921875,Fenty Beauty Gloss Bomb
2025-01-02,6891.2275390625,Fenty Beauty Gloss Bomb
2025-01-03,6824.076171875,Fenty Beauty Gloss Bomb
2025-01-04,6805.634765625,Fenty Beauty Gloss Bomb
2025-01-05,6811.85791015625,Fenty Beauty Gloss Bomb
2025-01-06,6679.46337890625,Fenty Beauty Gloss Bomb
2025-01-07,6704.0595703125,Fenty Beauty Gloss Bomb
2025-01-08,6734.716796875,Fenty Beauty Gloss Bomb
2025-01-09,6733.35302734375,Fenty Beauty Gloss Bomb
2025-01-10,6732.5009765625,Fenty Beauty Gloss Bomb
2025-01-11,6731.943359375,Fenty Beauty Gloss Bomb
2025-01-12,6731.5068359375,Fenty Beauty Gloss Bomb
2025-01-13,6731.0927734375,Fenty Beauty Gloss Bomb
2025-01-14,6731.33056640625,Fenty Beauty Gloss Bomb
2025-01-15,6731.46240234375,Fenty Beauty Gloss Bomb
2025-01-16,6731.447265625,Fenty Beauty Gloss Bomb
2025-01-17,6731.4375,Fenty Beauty Gloss Bomb
2025-01-18,6731.4326171875,Fenty Beauty Gloss Bomb
2025-01-19,6731.4296875,Fenty Beauty Gloss Bomb
2025-01-20,6731.4287109375,Fenty Beauty Gloss Bomb
2025-01-21,6731.43115234375,Fenty Beauty Gloss Bomb
2025-01-22,6731.43115234375,Fenty Beauty Gloss Bomb
2025-01-23,6731.43115234375,Fenty Beauty Gloss Bomb
2025-01-24,6731.43115234375,Fenty Beauty Gloss Bomb
2025-01-25,6731.43115234375,Fenty Beauty Gloss Bomb
2025-01-26,6731.43115234375,Fenty Beauty Gloss Bomb
2025-01-27,6731.43115234375,Fenty Beauty Gloss Bomb
2025-01-28,6731.43115234375,Fenty Beauty Gloss Bomb
2025-01-29,6731.43115234375,Fenty Beauty Gloss Bomb
2025-01-30,6731.43115234375,Fenty Beauty Gloss Bomb
2024-12-27,396.23947672319446,Herman Miller Office Chair
2024-12-28,3891.308875507998,Herman Miller Office Chair
2024-12-29,4445.2481293552555,Herman Miller Office Chair
2024-12-30,8582.514411752425,Herman Miller Office Chair
2024-12-31,7266.5082665636655,Herman Miller Office Chair
2025-01-01,-2318.064094625355,Herman Miller Office Chair
2025-01-02,-8632.820522590788,Herman Miller Office Chair
2025-01-03,-474.43339616953745,Herman Miller Office Chair
2025-01-04,4016.101220164911,Herman Miller Office Chair
2025-01-05,5489.811389044208,Herman Miller Office Chair
2025-01-06,10452.76932054659,Herman Miller Office Chair
2025-01-07,9853.399553130279,Herman Miller Office Chair
2025-01-08,865.1544535394951,Herman Miller Office Chair
2025-01-09,-4980.9192752146955,Herman Miller Office Chair
2025-01-10,3515.164136460862,Herman Miller Office Chair
2025-01-11,8213.014085982737,Herman Miller Office Chair
2025-01-12,9768.046859558268,Herman Miller Office Chair
2025-01-13,14694.229556904855,Herman Miller Office Chair
2025-01-14,13951.010665477967,Herman Miller Office Chair
2025-01-15,4725.52946173089,Herman Miller Office Chair
2025-01-16,-1435.3564689825507,Herman Miller Office Chair
2025-01-17,6685.679324592906,Herman Miller Office Chair
2025-01-18,10966.48662675745,Herman Miller Office Chair
2025-01-19,12080.976036831,Herman Miller Office Chair
2025-01-20,16561.222022220256,Herman Miller Office Chair
2025-01-21,15383.777850291603,Herman Miller Office Chair
2025-01-22,5751.314011530893,Herman Miller Office Chair
2025-01-23,-775.8626160718759,Herman Miller Office Chair
2025-01-24,7030.5119921801,Herman Miller Office Chair
2025-01-25,11056.375663725868,Herman Miller Office Chair
2024-12-31,6680.29638671875,Hot Wheels Track Builder
2025-01-01,6671.810546875,Hot Wheels Track Builder
2025-01-02,6700.162109375,Hot Wheels Track Builder
2025-01-03,6759.349609375,Hot Wheels Track Builder
2025-01-04,6843.828125,Hot Wheels Track Builder
2025-01-05,7089.67919921875,Hot Wheels Track Builder
2025-01-06,7102.31201171875,Hot Wheels Track Builder
2025-01-07,7188.01025390625,Hot Wheels Track Builder
2025-01-08,7168.63134765625,Hot Wheels Track Builder
2025-01-09,7154.080078125,Hot Wheels Track Builder
2025-01-10,7143.982421875,Hot Wheels Track Builder
2025-01-11,7137.6982421875,Hot Wheels Track Builder
2025-01-12,7134.54443359375,Hot Wheels Track Builder
